CAL_YEAR,JAN_01,FEB_02,MAR_03,AP1_04,AP2_05,MAY_06,JUN_07,JUL_08,AU1_09,AU2_10,SEP_11,OCT_12,NOV_13,DEC_14
1929,20658,20628.5,25450,26479,31159,48370.5,57072.5,28749,17532,15929,16047.5,17009,12462.5,20440
1930,14736,29292,20601.5,29701,38074,45434.5,39315.5,24742,16344,16073,15560,14992,14504,15907.5
1931,16698.5,16480,21288,25346,26958,39074.5,23361,15658.5,10488,10206,12846.5,13078,12176.5,14971.5
1932,16280.5,21090.5,34408,55117,54218,72300.5,71122,33536.5,17237,15597,16826,18354,15220,18581.5
1933,17395,23704.5,24773.5,27953,36474,45523,92222,30028.5,16458,15294,16920,17802.5,15003.5,22273
1934,23874,29006,24640.5,37501,41946,34061,21836,15758,10597,10107,12622,13702.5,13641,15239.5
1935,17074,24738,15850,26157,35683,49139.5,48945,24599.5,14600,13702,14897,16493,12343.5,16610
1936,17665.5,23509,21436,45480,68724,79517.5,49569,23953.5,16099,15541,16893.5,16671,12214.5,17517.5
1937,14561,16669.5,18830.5,24950,29618,47923.5,35127.5,20700.5,12392,11522,14438.5,17325,12784,24371.5
1938,24125,32755,36770.5,55437,74940,85302,75991,40632,20142,18612,18779,22188.5,14098.5,20555.5
1939,19449.5,24148,34648,43342,51167,55611.5,28991,23011.5,12633,11904,15131.5,18127.5,12459,15587.5
1940,21162.5,31596.5,39777,43123,50475,59751,38991.5,22778.5,13999,13124,17818.5,22839,15489,20897.5
1941,20329.5,30521,27895,23192,29879,54198.5,51919.5,28044,18129,18448,20543,21535,18863,31716
1942,23642.5,33036,22048.5,47071,64827,58647,70308,35664.5,18034,16486,18468,21361,16231,25463.5
1943,36301,48420,53252.5,107739,111422,77069,92909,65447,26095,21757,22143,25163.5,19131,24955.5
1944,22652.5,21799,22230,26893,27947,43443.5,48950.5,29211,18149,16363,17117.5,18419.5,13685.5,16767
1945,19028,28831.5,22079,23180,25805,62877.5,69463,32693,18366,17009,18857.5,21137.5,14749,24337
1946,28310.5,31747.5,49250,74963,94673,77118,56258.5,31901,19671,18730,21332,24257,16735,32061.5
1947,24491.5,38668.5,38199.5,40151,52237,83282,61478,31490,19532,18434,19423,23791,16391,23350
1948,27588.5,33294,27191,38142,51339,86200,111014.5,36918,21688,19454,18942,21291.5,15403,19575
1949,17452,29467,38970,49290,62402,94895.5,57997.5,27121,17792,16981,17229,19413.5,14162,17993
1950,22370,35800,41915.5,61995,59348,62001.5,75524.5,49274.5,21900,18874,20460,25364,22203,30691
1951,34272.5,48115,42613.5,73383,80941,74564,66924.5,38027.5,22454,20393,19910,25679.5,18937.5,28019
1952,31623,39057.5,28056,104343,105413,121380,82375.5,38517.5,20356,18402,19077.5,19717.5,13818.5,19119.5
