CAL_YEAR,JAN_01,FEB_02,MAR_03,AP1_04,AP2_05,MAY_06,JUN_07,JUL_08,AU1_09,AU2_10,SEP_11,OCT_12,NOV_13,DEC_14
1929,15060,14513,18004,20183,20183,15570,14372,10394,10526,10526,10817,10922,11166,15580
1930,12328,20185,13840,14722,14722,13570,10709,10036,11063,11063,11842,11637,10930,10734
1931,11140,11164,13336,12470,12470,10171,9684,8198,8217,8217,9640,10759,12594,12864
1932,11043,11213,20053,21225,21225,25475,20624,11678,10347,10347,11287,11897,12376,11612
1933,11336,11416,13645,17142,17142,18856,23195,10556,10461,10461,11002,11572,12090,12490
1934,13824,12802,12848,13260,13260,10399,8658,7401,7518,7518,9388,10775,11334,11059
1935,11059,11344,11872,18116,18116,14676,12574,10085,10201,10201,10161,11702,13014,12458
1936,11954,13056,14979,34250,34250,25215,18103,10605,11388,11388,11472,11523,11586,11612
1937,10685,11380,12881,15797,15797,13846,12675,10101,8282,8282,10716,12645,14476,17321
1938,13938,16241,21403,41510,41510,38876,26758,15126,11502,11502,12329,13150,14594,17288
1939,14540,16656,20167,25528,25528,15164,11515,10670,9323,9323,11472,11962,11720,11905
1940,12572,16724,21858,26284,26284,19409,13633,10394,8965,8965,12497,12662,13149,13450
1941,13938,16962,19663,18268,18268,18140,17784,11174,11957,11957,12867,12271,13518,16019
1942,13775,16349,16833,29544,29544,22466,21952,11532,10689,10689,12497,13963,15972,17272
1943,27745,29872,38593,69054,69054,34273,31178,23648,14576,14576,14682,18744,17737,18215
1944,15678,15716,15548,18671,18671,13863,14591,10621,11047,11047,12329,12385,14359,13482
1945,15841,20311,18573,17226,17226,29687,22523,11874,11274,11274,14396,19541,17283,20053
1946,20996,21769,31649,45291,45291,36160,19431,11922,11388,11388,14128,15020,19132,22248
1947,18524,21535,25778,21444,21444,24304,20674,11402,11177,11177,12800,13898,17216,18719
1948,18703,19802,18150,19763,19763,32582,28489,12475,11193,11193,12548,13052,14745,16296
1949,15580,19590,25225,26788,26788,34696,18036,10556,10787,10787,12262,13361,14779,16979
1950,18931,21859,26038,35376,35376,25150,27329,16818,14381,14381,17203,21444,21400,21012
1951,22980,31330,28103,43241,43241,32566,20238,12524,12201,12201,17337,21883,19333,22330
1952,21598,26356,28656,78179,78179,57384,29632,15110,11714,11714,13203,13800,16107,17418
1953,23175,24272,20964,24133,24133,26093,35631,15175,11583,11583,13354,13654,14577,17662
1954,19256,22399,22069,24217,24217,24027,19985,12280,11388,11388,13287,12434,13687,16621
1955,16052,15953,15092,16184,16184,17359,16322,11337,10705,10705,12144,14142,14745,22931
1956,30722,26304,33031,45207,45207,39640,34606,13012,12104,12104,13657,18761,18560,19158
1957,19419,29170,33112,37510,37510,48536,27010,12118,11632,11632,13590,16809,16426,18963
1958,17028,27981,20817,38048,38048,47138,28876,11987,10949,10949,12716,13003,12981,13190
1959,17321,18780,14474,17679,17679,17565,17965,10783,11872,11872,15411,14198,12856,13970
1960,16914,18689,24672,26183,26183,18069,18705,10799,10392,10392,11596,12263,13008,11970
1961,11254,15755,14409,13008,13008,15223,14621,9465,8311,8311,10436,12263,13797,13531
1962,12417,18150,15971,30149,30149,21484,19511,10913,11206,11206,11747,14556,15259,19549
1963,15954,27729,15450,19360,19360,20899,27780,11905,11303,11303,13276,13255,14671,14149
1964,14962,17124,18979,25998,25998,25452,33292,12328,11531,11531,13562,14377,18822,29746
1965,31909,34175,34885,51862,51862,41586,33947,19175,19532,19532,20099,23826,15159,17402
1966,16361,16097,17955,16974,16974,14068,12722,10604,9319,9319,11041,12848,14083,14133
1967,15190,15467,14800,15377,15377,23289,28805,12994,10962,10962,12621,18540,16957,16768
1968,17077,22149,19549,11512,11512,13092,13512,10246,12913,12913,16285,18422,17041,16800
1969,22427,21679,24070,46736,46736,40577,22889,12051,12002,12002,13411,13970,15629,16719
1970,26932,24758,21695,17175,17175,36495,35678,15889,12539,12539,18453,15662,22335,23517
1971,39097,37164,39780,57055,57055,56841,44501,23127,17597,17597,19276,20102,26738,21305
