Cal_date,Julian_day,cal_mon,BON_in_mon_sp_prop,TDA_in_mon_sp_prop,JDA_in_mon_sp_prop,MCN_in_mon_sp_prop,PRD_in_mon_sp_prop,IHR_in_mon_sp_prop,LMN_in_mon_sp_prop,LGS_in_mon_sp_prop,LWG_in_mon_sp_prop,HELL_in_mon_sp_prop,DWR_in_mon_sp_prop
39083.000000,1.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39084.000000,2.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39085.000000,3.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39086.000000,4.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39087.000000,5.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39088.000000,6.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39089.000000,7.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39090.000000,8.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39091.000000,9.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39092.000000,10.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39093.000000,11.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39094.000000,12.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39095.000000,13.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39096.000000,14.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39097.000000,15.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39098.000000,16.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39099.000000,17.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39100.000000,18.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39101.000000,19.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39102.000000,20.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39103.000000,21.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39104.000000,22.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39105.000000,23.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39106.000000,24.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39107.000000,25.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39108.000000,26.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39109.000000,27.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39110.000000,28.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39111.000000,29.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39112.000000,30.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39113.000000,31.000000,"""01 - JAN""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39114.000000,32.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39115.000000,33.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39116.000000,34.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39117.000000,35.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39118.000000,36.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39119.000000,37.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39120.000000,38.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39121.000000,39.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39122.000000,40.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39123.000000,41.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39124.000000,42.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39125.000000,43.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39126.000000,44.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39127.000000,45.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39128.000000,46.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39129.000000,47.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39130.000000,48.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39131.000000,49.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39132.000000,50.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39133.000000,51.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39134.000000,52.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39135.000000,53.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39136.000000,54.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39137.000000,55.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39138.000000,56.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39139.000000,57.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39140.000000,58.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39141.000000,59.000000,"""02 - FEB""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39142.000000,60.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39143.000000,61.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39144.000000,62.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39145.000000,63.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39146.000000,64.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39147.000000,65.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39148.000000,66.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39149.000000,67.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39150.000000,68.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39151.000000,69.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39152.000000,70.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39153.000000,71.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39154.000000,72.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39155.000000,73.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39156.000000,74.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39157.000000,75.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39158.000000,76.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39159.000000,77.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39160.000000,78.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39161.000000,79.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39162.000000,80.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39163.000000,81.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39164.000000,82.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39165.000000,83.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39166.000000,84.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39167.000000,85.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39168.000000,86.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39169.000000,87.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39170.000000,88.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39171.000000,89.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39172.000000,90.000000,"""03 - MAR""",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4/1/2007,91.000000,"""04 - AP1""",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
4/2/2007,92.000000,"""04 - AP1""",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
4/3/2007,93.000000,"""04 - AP1""",0.000000,0.000000,0.000000,0.000000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/4/2007,94.000000,"""04 - AP1""",0.000000,0.000000,0.000000,0.000000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/5/2007,95.000000,"""04 - AP1""",0.000000,0.000000,0.000000,0.000000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/6/2007,96.000000,"""04 - AP1""",0.000000,0.000000,0.000000,0.000000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/7/2007,97.000000,"""04 - AP1""",0.000000,0.000000,0.000000,0.000000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/8/2007,98.000000,"""04 - AP1""",0.000000,0.000000,0.000000,0.000000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/9/2007,99.000000,"""04 - AP1""",0.000000,0.000000,0.000000,0.000000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/10/2007,100.000000,"""04 - AP1""",2.500000,2.500000,2.500000,2.500000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/11/2007,101.000000,"""04 - AP1""",2.500000,2.500000,2.500000,2.500000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/12/2007,102.000000,"""04 - AP1""",2.500000,2.500000,2.500000,2.500000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/13/2007,103.000000,"""04 - AP1""",2.500000,2.500000,2.500000,2.500000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/14/2007,104.000000,"""04 - AP1""",2.500000,2.500000,2.500000,2.500000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/15/2007,105.000000,"""04 - AP1""",2.500000,2.500000,2.500000,2.500000,1.000000,1.153846,1.153846,1.153846,1.153846,1.000000,1.000000
4/16/2007,106.000000,"""05 - AP2",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4/17/2007,107.000000,"""05 - AP2",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
