CAL_YEAR,JAN_01,FEB_02,MAR_03,AP1_04,AP2_05,MAY_06,JUN_07,JUL_08,AU1_09,AU2_10,SEP_11,OCT_12,NOV_13,DEC_14
1929,1339,1356.5,4332,5102,12121,24574.5,22806,5083.5,1867,1240,1093,1193,1209.5,2282.5
1930,1256.5,4140,4818,17203,26099,19194.5,13802,3347,1578,1208,1444,2336,2067.5,1595
1931,1958,2046.5,5093.5,14056,11425,25831.5,8303,2034,1093,857,1130.5,1177.5,1451.5,1518.5
1932,1482,2029.5,8174.5,16453,20627,41032.5,24643.5,5511,1987,1419,1287.5,1601,3632,2552
1933,2758.5,1892.5,4712.5,7774,19644,23819.5,45856.5,6563.5,2103,1494,1522,3430,5728,10600.5
1934,11021.5,7360.5,14575.5,24567,31380,18160,6450,2023.5,1106,899,920.5,1617.5,2953.5,2335
1935,2203,2500.5,4357.5,6895,18113,25390,17222.5,4220.5,1593,1201,998.5,1150.5,1202,1125.5
1936,1651,1418.5,5420.5,10627,45387,39581.5,12468.5,2895,1386,1101,1096,988,925,1176.5
1937,795.5,1034.5,2362,4451,9323,25560,15365,3490,1639,1065,930.5,1102,1629,2817.5
1938,2779,2623,6471.5,7583,31167,30644,21643.5,4541.5,1695,1415,1104,1518,1912.5,2462
1939,2251.5,1895,6423.5,13232,23050,29101,10848.5,3781.5,1450,1052,1021,1260,1247,2262
1940,2806,3891,7804.5,15605,19615,23971.5,10431,2165.5,1140,813,1245,2028.5,2149,2569
1941,2199,2134.5,4314.5,9232,9751,15687,12476.5,3953,1810,1626,3030.5,4575,6307.5,7283
1942,3983,3256.5,4753.5,16143,20942,19740.5,17117,6007,2071,1496,1329.5,1252,3329,3844
1943,4069.5,4022,6758,21993,32135,28885,31153,13670,3246,1999,1540,1430.5,1829.5,1533.5
1944,1296.5,1641,3121.5,8789,10015,20393,14450,4399,1946,1512,1313,1228,1551.5,1357
1945,3065.5,2988,3975,6181,11493,30047,20816.5,5557.5,1859,1327,1662,1794.5,3789,3246
1946,3805,2866.5,7535,11920,27558,28910.5,16088,5745,2386,1573,2001.5,4226,5070,11690.5
1947,4850,5990,8237,11969,23666,40767.5,19843,6282,2207,1862,1799,3441.5,4531.5,5092.5
1948,6065.5,4321.5,5639,8364,25339,46294,35374,7251,3717,2422,1690.5,1787.5,2451,1972
1949,1831.5,2796.5,7960.5,14751,27918,47120,19940,4898,1942,1416,1378.5,2007,3686,3928.5
1950,3557,5441.5,8534.5,15584,17783,27612,37192,13056,4391,2389,1705.5,3695.5,6118,6418.5
1951,5023,7381.5,5742,16777,21668,32461.5,20052,7269,2260,1711,1323.5,2856,2624.5,2697.5
1952,2126.5,2634.5,4360.5,12814,30206,37431.5,19548.5,5220.5,2085,1491,1196,958.5,989,1118.5
1953,3369.5,4120.5,4589,6265,16923,22607.5,31051.5,9232,2288,1615,1145,1072.5,1517.5,2013.5
1954,1950.5,3358.5,4621,9415,19829,33401.5,24472.5,10674.5,2594,2719,1698.5,1679,1959.5,1660
1955,1781,1760,2594.5,7469,9294,26409.5,35875,13257.5,3511,2035,1635,2174,4419,7304
1956,5604.5,3081,7697,13702,34762,42051.5,23281.5,6193.5,2296,1983,1478.5,1831.5,2553.5,3538
1957,2171.5,3465,7841,13098,15335,44351,24558.5,5406.5,2123,1499,1273,1540,1545.5,1928.5
1958,1860,4006,4226.5,7296,19393,36535,16301,4285.5,1999,1512,1590,2379.5,6967,10068
1959,7226,5535,7049.5,17867,17527,28764,31890,7179.5,2342,1882,3180,10614.5,8742,5672.5
